10748	fruit	1	3617
10749	vegetables	0	3617
10750	bread	0	3617
10751	meat	0	3617
10752	close	1	3618
10753	finish	0	3618
10754	end	0	3618
10755	stop	0	3618
10756	tired	1	3619
10757	thirsty	0	3619
10758	old	0	3619
10759	happy	0	3619
10760	weather	1	3620
10761	food	0	3620
10762	health	0	3620
10763	show	0	3620
10764	remembered	1	3621
10765	planned	0	3621
10766	hoped	0	3621
10767	wanted	0	3621
10768	often	1	3622
10769	much	0	3622
10770	fast	0	3622
10771	well	0	3622
10772	dirty	1	3623
10773	new	0	3623
10774	summer	0	3623
10775	large	0	3623
10776	quiet	1	3624
10777	expensive	0	3624
10778	small	0	3624
10779	delicious	0	3624
10780	dry	1	3625
10781	torn	0	3625
10782	dirty	0	3625
10783	new	0	3625
10784	day	1	3626
10785	week	0	3626
10786	month	0	3626
10787	year	0	3626
10788	address	1	3627
10789	name	0	3627
10790	number	0	3627
10791	e-mail	0	3627
10792	near	1	3628
10793	good	0	3628
10794	slow	0	3628
10795	little	0	3628
10796	alive	1	3629
10797	alone	0	3629
10798	afraid	0	3629
10799	angry	0	3629
10800	old	1	3630
10801	smart	0	3630
10802	heavy	0	3630
10803	tall	0	3630
10804	cold	1	3631
10805	warm	0	3631
10806	small	0	3631
10807	full	0	3631
10808	speak	1	3632
10809	tell	0	3632
10810	say	0	3632
10811	talk	0	3632
10812	wide	1	3633
10813	tall	0	3633
10814	long	0	3633
10815	deep	0	3633
10816	favorite	1	3634
10817	backward	0	3634
10818	whole	0	3634
10819	narrow	0	3634
10820	first	1	3635
10821	next	0	3635
10822	middle	0	3635
10823	previous	0	3635
10824	easy	1	3636
10825	soft	0	3636
10826	little	0	3636
10827	cheap	0	3636
10828	refuse	1	3637
10829	want	0	3637
10830	send	0	3637
10831	destroy	0	3637
10832	answer	1	3638
10833	fact	0	3638
10834	understanding	0	3638
10835	mistake	0	3638
10836	exit	1	3639
10837	gate	0	3639
10838	road	0	3639
10839	way	0	3639
10840	pages	1	3640
10841	pounds	0	3640
10842	miles	0	3640
10843	dollars	0	3640
10844	healthy	1	3641
10845	late	0	3641
10846	worried	0	3641
10847	right	0	3641
10848	heavy	1	3642
10849	loud	0	3642
10850	expensive	0	3642
10851	strange	0	3642
10852	safe	1	3643
10853	fast	0	3643
10854	expensive	0	3643
10855	comfortable	0	3643
10856	dark	1	3644
10857	heavy	0	3644
10858	quiet	0	3644
10859	strong	0	3644
10860	size	1	3645
10861	shape	0	3645
10862	style	0	3645
10863	kind	0	3645
10864	heard	1	3646
10865	said	0	3646
10866	obtained	0	3646
10867	acquired	0	3646
10868	full	1	3647
10869	hungry	0	3647
10870	satisfied	0	3647
10871	finished	0	3647
10872	worried	1	3648
10873	increased	0	3648
10874	expected	0	3648
10875	advanced	0	3648
10876	color	1	3649
10877	form	0	3649
10878	height	0	3649
10879	style	0	3649
10880	busy	1	3650
10881	unable	0	3650
10882	asleep	0	3650
10883	old	0	3650
10884	graduate	1	3651
10885	end	0	3651
10886	finish	0	3651
10887	complete	0	3651
10888	point	1	3652
10889	direct	0	3652
10890	line	0	3652
10891	swing	0	3652
10892	tell	1	3653
10893	say	0	3653
10894	speak	0	3653
10895	talk	0	3653
10896	new	1	3654
10897	young	0	3654
10898	cheap	0	3654
10899	clean	0	3654
10900	serious	1	3655
10901	broken	0	3655
10902	public	0	3655
10903	extra	0	3655
10904	a different	1	3656
10905	a similar	0	3656
10906	a larger	0	3656
10907	a closer	0	3656
10908	attended	1	3657
10909	received	0	3657
10910	comprehended	0	3657
10911	finished	0	3657
10912	choose	1	3658
10913	buy	0	3658
10914	prepare	0	3658
10915	try	0	3658
10916	cost	1	3659
10917	price	0	3659
10918	value	0	3659
10919	pay	0	3659
10920	leave	1	3660
10921	relax	0	3660
10922	pretend	0	3660
10923	damage	0	3660
10924	make	1	3661
10925	come	0	3661
10926	finish	0	3661
10927	use	0	3661
10928	kind	1	3662
10929	style	0	3662
10930	variety	0	3662
10931	manner	0	3662
10932	modern	1	3663
10933	further	0	3663
10934	often	0	3663
10935	lazy	0	3663
10936	miss	1	3664
10937	like	0	3664
10938	fail	0	3664
10939	regret	0	3664
10940	part	1	3665
10941	space	0	3665
10942	time	0	3665
10943	floor	0	3665
10944	group	1	3666
10945	pile	0	3666
10946	package	0	3666
10947	meeting	0	3666
10948	fail	1	3667
10949	take	0	3667
10950	miss	0	3667
10951	complete	0	3667
10952	think about	1	3668
10953	work on	0	3668
10954	finish up	0	3668
10955	throw out	0	3668
10956	thin	1	3669
10957	poor	0	3669
10958	tired	0	3669
10959	hungry	0	3669
10960	know	1	3670
10961	believe	0	3670
10962	feel	0	3670
10963	like	0	3670
10964	beautiful	1	3671
10965	expensive	0	3671
10966	horrible	0	3671
10967	perfect	0	3671
10968	left	1	3672
10969	wrong	0	3672
10970	near	0	3672
10971	side	0	3672
10972	stay	1	3673
10973	work	0	3673
10974	try	0	3673
10975	listen	0	3673
10976	ill	1	3674
10977	nil	0	3674
10978	lull	0	3674
10979	null	0	3674
10980	short	1	3675
10981	low	0	3675
10982	small	0	3675
10983	narrow	0	3675
10984	meet	1	3676
10985	understand	0	3676
10986	recognize	0	3676
10987	put	0	3676
10988	taking	1	3677
10989	passing	0	3677
10990	making	0	3677
10991	running	0	3677
10992	touch	1	3678
10993	hold	0	3678
10994	connection	0	3678
10995	communication	0	3678
10996	gloves	1	3679
10997	socks	0	3679
10998	scarf	0	3679
10999	coat	0	3679
11000	borrow	1	3680
11001	rent	0	3680
11002	lend	0	3680
11003	give	0	3680
11004	soft	1	3681
11005	easy	0	3681
11006	dry	0	3681
11007	weak	0	3681
11008	earn	1	3682
11009	gain	0	3682
11010	win	0	3682
11011	spend	0	3682
11012	satisfied	1	3683
11013	concluded	0	3683
11014	accepted	0	3683
11015	interested	0	3683
11016	fault	1	3684
11017	blame	0	3684
11018	problem	0	3684
11019	credit	0	3684
11020	gentle	1	3685
11021	sudden	0	3685
11022	absent	0	3685
11023	bold	0	3685
11024	spilled	1	3686
11025	climbed	0	3686
11026	folded	0	3686
11027	entered	0	3686
11028	easy	1	3687
11029	full	0	3687
11030	real	0	3687
11031	dark	0	3687
11032	landed	1	3688
11033	turned	0	3688
11034	started	0	3688
11035	happened	0	3688
11036	made up	1	3689
11037	straightened out	0	3689
11038	worked over	0	3689
11039	turned on	0	3689
11040	expensive	1	3690
11041	complicated	0	3690
11042	modern	0	3690
11043	delightful	0	3690
11044	lost	1	3691
11045	missing	0	3691
11046	oriented	0	3691
11047	hungry	0	3691
11048	take	1	3692
11049	bring	0	3692
11050	buy	0	3692
11051	drink	0	3692
11052	take	1	3693
11053	last	0	3693
11054	need	0	3693
11055	go	0	3693
11056	often	1	3694
11057	seldom	0	3694
11058	sometimes	0	3694
11059	never	0	3694
11060	tickets	1	3695
11061	drinks	0	3695
11062	seats	0	3695
11063	times	0	3695
11064	lost	1	3696
11065	dropped	0	3696
11066	missed	0	3696
11067	discovered	0	3696
11068	realize	1	3697
11069	say	0	3697
11070	understand	0	3697
11071	feel	0	3697
11072	support	1	3698
11073	tolerate	0	3698
11074	bear	0	3698
11075	stand	0	3698
11076	reached	1	3699
11077	arrived	0	3699
11078	grasped	0	3699
11079	achieved	0	3699
11080	lose	1	3700
11081	decrease	0	3700
11082	reduce	0	3700
11083	cut	0	3700
11084	least	1	3701
11085	under	0	3701
11086	down	0	3701
11087	bottom	0	3701
11088	corner	1	3702
11089	center	0	3702
11090	door	0	3702
11091	town	0	3702
11092	shallow	1	3703
11093	full	0	3703
11094	wide	0	3703
11095	high	0	3703
11096	piece	1	3704
11097	item	0	3704
11098	article	0	3704
11099	part	0	3704
11100	associate	1	3705
11101	plan	0	3705
11102	success	0	3705
11103	experience	0	3705
11104	sociable	1	3706
11105	sensible	0	3706
11106	generous	0	3706
11107	ambitious	0	3706
11108	advantage	1	3707
11109	velocity	0	3707
11110	equation	0	3707
11111	phenomenon	0	3707
11112	an appointment	1	3708
11113	a date	0	3708
11114	a meeting	0	3708
11115	an engagement	0	3708
11116	predictions	1	3709
11117	sculptures	0	3709
11118	repairs	0	3709
11119	grades	0	3709
11120	dam	1	3710
11121	curb	0	3710
11122	slot	0	3710
11123	spine	0	3710
11124	an important	1	3711
11125	an unknown	0	3711
11126	a locked	0	3711
11127	a secret	0	3711
11128	experience	1	3712
11129	happening	0	3712
11130	development	0	3712
11131	occurrence	0	3712
11132	vacation	1	3713
11133	project	0	3713
11134	accident	0	3713
11135	surprise	0	3713
11136	helpful	1	3714
11137	expensive	0	3714
11138	growing	0	3714
11139	important	0	3714
11140	appreciation	1	3715
11141	hassle	0	3715
11142	criticism	0	3715
11143	advantage	0	3715
11144	capable	1	3716
11145	probable	0	3716
11146	deniable	0	3716
11147	variable	0	3716
11148	changed	1	3717
11149	altered	0	3717
11150	switched	0	3717
11151	reversed	0	3717
11152	surprised	1	3718
11153	misled	0	3718
11154	amused	0	3718
11155	baffled	0	3718
11156	conservative	1	3719
11157	dynamic	0	3719
11158	enchanted	0	3719
11159	hazardous	0	3719
11160	tube	1	3720
11161	bar	0	3720
11162	can	0	3720
11163	bottle	0	3720
11164	runs	1	3721
11165	takes	0	3721
11166	leads	0	3721
11167	heads	0	3721
11168	excuse	1	3722
11169	apology	0	3722
11170	cause	0	3722
11171	sorrow	0	3722
11172	spend	1	3723
11173	give	0	3723
11174	part	0	3723
11175	pay	0	3723
11176	dentist	1	3724
11177	mechanic	0	3724
11178	banker	0	3724
11179	clerk	0	3724
11180	look	1	3725
11181	watch	0	3725
11182	see	0	3725
11183	notice	0	3725
11184	injured	1	3726
11185	wounded	0	3726
11186	damaged	0	3726
11187	harmed	0	3726
11188	specific	1	3727
11189	prestigious	0	3727
11190	efficient	0	3727
11191	voluntary	0	3727
11192	fans	1	3728
11193	audience	0	3728
11194	onlookers	0	3728
11195	viewers	0	3728
11196	sore	1	3729
11197	famous	0	3729
11198	plastic	0	3729
11199	colorful	0	3729
11200	completed	1	3730
11201	rejected	0	3730
11202	modified	0	3730
11203	advertised	0	3730
11204	hobby	1	3731
11205	work	0	3731
11206	season	0	3731
11207	memory	0	3731
11208	started	1	3732
11209	changed	0	3732
11210	damaged	0	3732
11211	strengthened	0	3732
11212	knows about	1	3733
11213	agrees with	0	3733
11214	responds to	0	3733
11215	apologizes for	0	3733
11216	quick	1	3734
11217	painful	0	3734
11218	full	0	3734
11219	complicated	0	3734
11220	reduce	1	3735
11221	stop	0	3735
11222	heal	0	3735
11223	cure	0	3735
11224	female	1	3736
11225	feminine	0	3736
11226	effeminate	0	3736
11227	lady	0	3736
11228	tired	1	3737
11229	excited	0	3737
11230	missing	0	3737
11231	quiet	0	3737
11232	finances	1	3738
11233	leads	0	3738
11234	plans	0	3738
11235	documents	0	3738
11236	mainly	1	3739
11237	partially	0	3739
11238	initially	0	3739
11239	ideally	0	3739
11240	recovered	1	3740
11241	cured	0	3740
11242	treated	0	3740
11243	healed	0	3740
11244	worried	1	3741
11245	proud	0	3741
11246	sleepy	0	3741
11247	offended	0	3741
11248	endure	1	3742
11249	enjoy	0	3742
11250	avoid	0	3742
11251	ignore	0	3742
11252	developed	1	3743
11253	diminished	0	3743
11254	attacked	0	3743
11255	multiplied	0	3743
11256	familiar	1	3744
11257	aware	0	3744
11258	knowledgeable	0	3744
11259	informed	0	3744
11260	brand	1	3745
11261	highly	0	3745
11262	dead	0	3745
11263	recently	0	3745
11264	short	1	3746
11265	bloody	0	3746
11266	terrible	0	3746
11267	decisive	0	3746
11268	smell	1	3747
11269	color	0	3747
11270	noise	0	3747
11271	flavor	0	3747
11272	feet	1	3748
11273	hands	0	3748
11274	fingers	0	3748
11275	legs	0	3748
11276	living	1	3749
11277	work	0	3749
